"","Phase","Total","IN","OUT","Proz_IN","Proz_OUT"
"1","Normal",28.9954128440367,17.4587155963303,11.5366972477064,60.2,39.8
"2","Lockdown_1",86.7894736842105,50.8245614035088,35.9649122807018,58.6,41.4
"3","Lockdown_2",31.5571428571429,18.1857142857143,13.3714285714286,57.6,42.4
"4","Covid",48.9442896935933,28.5738161559889,20.3704735376045,58.4,41.6
