KreisID;X;Y;DG_Rubus;DG_Strauchschicht;DG_Baumschicht;team;Anz_reh_lokalisationen;DG_us;DG_os
19;684500;237400;90;30;40;team5;3;0.36195818;0.693280933
20;684475;237275;60;50;30;team5;0;0.192110601;0.849771807
21;684425;237275;45;60;70;team5;0;0.252594659;0.977373226
22;684425;237400;60;45;20;team5;0;0.091197434;0.474787022
23;684375;237325;5;15;15;team5;0;0.11426719;0.588696754
24;684375;237350;0;0;35;team5;0;0.14010306;0.80164808
0;684875;237150;45;70;50;team6;0;0.489820948;0.961480736
1;684800;237225;40;60;60;team6;0;0.32960726;0.870091282
2;684775;237450;95;18;12;team6;0;0.033657497;0.794756594
3;684750;237200;10;50;65;team6;2;0.303219462;0.661394526
4;684750;237450;55;13;25;team6;0;0.106980977;0.937606503
5;684625;237375;40;30;60;team6;4;0.174949506;0.800436111
6;684625;237475;50;70;40;team6;0;0.149379641;0.951587223
7;684625;237500;10;70;30;team6;4;0.492235592;0.746708928
8;684625;237625;70;65;60;team6;0;0.601506886;0.892337733
9;684600;237275;10;60;80;team6;13;0.358741747;0.703042598
10;684600;237375;35;35;55;team6;5;0.28494863;0.560517245
11;684575;237525;1;25;90;team6;0;0.320033056;0.968443206
12;684550;237500;3;20;20;team6;0;0.083818526;0.720770788
13;684500;237250;50;40;30;team6;0;0.285634163;0.913899594
14;684425;237200;20;45;25;team6;0;0.157093875;0.824568965
15;684400;237400;25;20;10;team6;0;0.145728489;0.389792091
16;684350;237375;2;5;15;team6;0;0.1554428;0.664290061
17;684775;237200;5;10;20;team6;5;0.090244497;0.700948278
18;684725;237425;50;70;50;team6;0;0.364698058;0.839056798
19;684700;237200;3;15;80;team6;0;0.18502478;0.879011157
20;684675;237450;30;70;45;team6;1;0.467973814;0.942794125
21;684600;237325;40;20;60;team6;2;0.232090813;0.517043611
22;684600;237375;85;60;40;team6;5;0.28494863;0.560517245
23;684575;237475;70;60;40;team6;0;0.197501142;0.839832658
24;684525;237350;50;35;30;team6;2;0.163036597;0.553646045
