"Volksabstimmungen (Ergebnisse Ebene Gemeinde seit 1981)"

"Kanton (-) / Bezirk (>>) / Gemeinde (......)","Datum und Vorlage","Stimmberechtigte","Abgegebene Stimmen","Beteiligung in %","Gültige Stimmzettel","Ja","Nein","Ja in %"
"......Etoy","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1399,765,54.7,744,381,363,51.2
"......Lavigny","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",450,273,60.7,269,109,160,40.5
"......Lonay","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1484,840,56.6,823,373,450,45.3
"......Lully (VD)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",480,286,59.6,283,136,147,48.1
"......Lussy-sur-Morges","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",382,229,59.9,226,106,120,46.9
"......Morges","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",8270,4217,51.0,4141,2292,1849,55.3
"......Préverenges","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2848,1470,51.6,1440,758,682,52.6
"......Reverolle","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",226,140,61.9,136,79,57,58.1
"......Romanel-sur-Morges","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",334,206,61.7,201,80,121,39.8
"......Saint-Prex","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2677,1420,53.0,1400,662,738,47.3
"......Tolochenaz","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",986,530,53.8,515,249,266,48.3
"......Vaux-sur-Morges","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",107,75,70.1,74,36,38,48.6
"......Villars-sous-Yens","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",377,242,64.2,238,131,107,55.0
"......Vufflens-le-Château","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",483,319,66.0,306,147,159,48.0
"......Vullierens","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",300,197,65.7,193,84,109,43.5
"......Yens","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",712,459,64.5,452,191,261,42.3
