"Volksabstimmungen (Ergebnisse Ebene Gemeinde seit 1981)"

"Kanton (-) / Bezirk (>>) / Gemeinde (......)","Datum und Vorlage","Stimmberechtigte","Abgegebene Stimmen","Beteiligung in %","Gültige Stimmzettel","Ja","Nein","Ja in %"
"Schweiz","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",5139057,2321951,45.2,2276400,1152598,1123802,50.6
"- Zürich","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",881041,372874,42.3,367106,192685,174421,52.5
">> Bezirk Affoltern","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",33024,14825,44.9,14599,7029,7570,48.1
"......Aeugst am Albis","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1359,584,43.0,580,279,301,48.1
"......Affoltern am Albis","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",6788,2812,41.4,2750,1382,1368,50.3
"......Bonstetten","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3583,1696,47.3,1681,778,903,46.3
"......Hausen am Albis","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2360,1121,47.5,1098,533,565,48.5
"......Hedingen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2384,1085,45.5,1072,503,569,46.9
"......Kappel am Albis","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",657,302,46.0,301,152,149,50.5
"......Knonau","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1326,620,46.8,616,308,308,50.0
"......Maschwanden","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",471,236,50.1,235,124,111,52.8
"......Mettmenstetten","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3051,1386,45.4,1367,685,682,50.1
"......Obfelden","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3096,1315,42.5,1292,614,678,47.5
"......Ottenbach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1822,817,44.8,805,407,398,50.6
"......Rifferswil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",676,287,42.5,283,151,132,53.4
"......Stallikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2230,1013,45.4,993,429,564,43.2
"......Wettswil am Albis","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3221,1551,48.2,1526,684,842,44.8
">> Bezirk Andelfingen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",21225,10205,48.1,10060,5168,4892,51.4
"......Adlikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",467,245,52.5,244,116,128,47.5
"......Benken (ZH)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",610,270,44.3,264,130,134,49.2
"......Berg am Irchel","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",467,266,57.0,266,123,143,46.2
"......Buch am Irchel","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",642,333,51.9,330,154,176,46.7
"......Dachsen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1300,586,45.1,576,307,269,53.3
"......Dorf","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",456,217,47.6,214,89,125,41.6
"......Feuerthalen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2237,952,42.6,932,537,395,57.6
"......Flaach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",881,419,47.6,415,193,222,46.5
"......Flurlingen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",986,480,48.7,476,268,208,56.3
"......Andelfingen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1393,765,54.9,757,385,372,50.9
"......Henggart","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1548,745,48.1,738,351,387,47.6
"......Humlikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",355,173,48.7,168,69,99,41.1
"......Kleinandelfingen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1429,665,46.5,659,354,305,53.7
"......Laufen-Uhwiesen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1112,570,51.3,560,282,278,50.4
"......Marthalen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1480,728,49.2,719,366,353,50.9
"......Oberstammheim","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",850,417,49.1,408,211,197,51.7
"......Ossingen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1007,475,47.2,464,255,209,55.0
"......Rheinau","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",900,410,45.6,406,231,175,56.9
"......Thalheim an der Thur","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",611,287,47.0,285,140,145,49.1
"......Trüllikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",803,348,43.3,342,174,168,50.9
"......Truttikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",338,173,51.2,167,80,87,47.9
"......Unterstammheim","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",634,331,52.2,325,166,159,51.1
"......Volken","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",212,101,47.6,101,55,46,54.5
"......Waltalingen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",507,249,49.1,244,132,112,54.1
">> Bezirk Bülach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",82649,31556,38.2,31130,15411,15719,49.5
"......Bachenbülach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2468,903,36.6,887,440,447,49.6
"......Bassersdorf","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",6965,2552,36.6,2525,1262,1263,50.0
"......Bülach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",11043,3915,35.5,3843,2032,1811,52.9
"......Dietlikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",4543,1893,41.7,1874,912,962,48.7
"......Eglisau","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2927,1397,47.7,1379,703,676,51.0
"......Embrach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",5462,1951,35.7,1929,912,1017,47.3
"......Freienstein-Teufen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1611,664,41.2,654,317,337,48.5
"......Glattfelden","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2976,1110,37.3,1090,545,545,50.0
"......Hochfelden","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1346,502,37.3,498,216,282,43.4
"......Höri","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1376,446,32.4,443,179,264,40.4
"......Hüntwangen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",732,363,49.6,358,177,181,49.4
"......Kloten","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",10802,3611,33.4,3557,1938,1619,54.5
"......Lufingen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1162,453,39.0,446,220,226,49.3
"......Nürensdorf","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3765,1690,44.9,1675,760,915,45.4
"......Oberembrach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",769,339,44.1,337,150,187,44.5
"......Opfikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",7666,2494,32.5,2453,1208,1245,49.2
"......Rafz","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2694,1372,50.9,1347,670,677,49.7
"......Rorbas","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1508,507,33.6,505,259,246,51.3
"......Wallisellen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",8567,3430,40.0,3388,1617,1771,47.7
"......Wasterkingen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",419,197,47.0,197,106,91,53.8
"......Wil (ZH)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",994,502,50.5,494,259,235,52.4
"......Winkel","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2854,1265,44.3,1251,529,722,42.3
">> Bezirk Dielsdorf","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",50050,19017,38.0,18718,8971,9747,47.9
"......Bachs","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",442,196,44.3,190,76,114,40.0
"......Boppelsen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",886,430,48.5,419,201,218,48.0
"......Buchs (ZH)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3543,1385,39.1,1363,604,759,44.3
"......Dällikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2188,779,35.6,770,334,436,43.4
"......Dänikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1144,420,36.7,412,189,223,45.9
"......Dielsdorf","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3507,1286,36.7,1269,624,645,49.2
"......Hüttikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",482,184,38.2,182,66,116,36.3
"......Neerach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2248,1029,45.8,1011,419,592,41.4
"......Niederglatt","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2812,1003,35.7,992,459,533,46.3
"......Niederhasli","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",5272,1941,36.8,1904,909,995,47.7
"......Niederweningen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1810,792,43.8,785,390,395,49.7
"......Oberglatt","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3178,974,30.6,958,495,463,51.7
"......Oberweningen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1120,474,42.3,463,207,256,44.7
"......Otelfingen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1717,711,41.4,698,332,366,47.6
"......Regensberg","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",319,169,53.0,168,67,101,39.9
"......Regensdorf","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",9363,3410,36.4,3367,1699,1668,50.5
"......Rümlang","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",4181,1440,34.4,1412,764,648,54.1
"......Schleinikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",523,199,38.0,196,105,91,53.6
"......Schöfflisdorf","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",953,446,46.8,440,232,208,52.7
"......Stadel","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1441,535,37.1,525,242,283,46.1
"......Steinmaur","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2164,931,43.0,912,417,495,45.7
"......Weiach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",757,283,37.4,282,140,142,49.6
">> Bezirk Hinwil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",59710,24401,40.9,24044,12522,11522,52.1
"......Bäretswil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3520,1557,44.2,1537,776,761,50.5
"......Bubikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",4827,2158,44.7,2137,1153,984,54.0
"......Dürnten","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",4710,1998,42.4,1973,944,1029,47.8
"......Fischenthal","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1615,626,38.8,613,321,292,52.4
"......Gossau (ZH)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",6841,2933,42.9,2895,1445,1450,49.9
"......Grüningen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2291,985,43.0,973,473,500,48.6
"......Hinwil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",7346,2954,40.2,2886,1509,1377,52.3
"......Rüti (ZH)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",7643,3053,39.9,3021,1669,1352,55.2
"......Seegräben","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",853,446,52.3,442,208,234,47.1
"......Wald (ZH)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",5733,2203,38.4,2162,1169,993,54.1
"......Wetzikon (ZH)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",14331,5488,38.3,5405,2855,2550,52.8
">> Bezirk Horgen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",74495,33003,44.3,32531,15912,16619,48.9
"......Adliswil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",10341,4349,42.1,4274,2159,2115,50.5
"......Hütten","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",653,254,38.9,249,117,132,47.0
"......Kilchberg (ZH)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",4735,2327,49.1,2302,963,1339,41.8
"......Langnau am Albis","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",4544,2052,45.2,2030,959,1071,47.2
"......Oberrieden","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3493,1755,50.2,1735,814,921,46.9
"......Richterswil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",8323,3661,44.0,3598,1820,1778,50.6
"......Rüschlikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3409,1598,46.9,1588,687,901,43.3
"......Schönenberg (ZH)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1427,726,50.9,709,336,373,47.4
"......Thalwil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",11078,4908,44.3,4857,2425,2432,49.9
"......Wädenswil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",13554,5888,43.4,5791,2997,2794,51.8
"......Horgen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",12938,5485,42.4,5398,2635,2763,48.8
">> Bezirk Meilen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",65304,31891,48.8,31494,14186,17308,45.0
"......Erlenbach (ZH)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3474,1706,49.1,1685,656,1029,38.9
"......Herrliberg","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",4132,2114,51.2,2095,824,1271,39.3
"......Hombrechtikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",5448,2275,41.8,2253,1204,1049,53.4
"......Küsnacht (ZH)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",9039,4659,51.5,4616,1923,2693,41.7
"......Männedorf","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",6929,3334,48.1,3290,1617,1673,49.1
"......Meilen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",8516,4060,47.7,4016,1894,2122,47.2
"......Oetwil am See","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2634,967,36.7,948,437,511,46.1
"......Stäfa","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",9555,5164,54.0,5087,2493,2594,49.0
"......Uetikon am See","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3892,1676,43.1,1636,698,938,42.7
"......Zumikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3439,1834,53.3,1802,712,1090,39.5
"......Zollikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",8246,4102,49.7,4066,1728,2338,42.5
">> Bezirk Pfäffikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",38190,16610,43.5,16350,8373,7977,51.2
"......Fehraltorf","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",4046,1631,40.3,1609,756,853,47.0
"......Hittnau","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2506,1077,43.0,1059,543,516,51.3
"......Lindau","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3243,1436,44.3,1427,699,728,49.0
"......Pfäffikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",7338,3206,43.7,3161,1673,1488,52.9
"......Russikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2980,1289,43.3,1278,604,674,47.3
"......Weisslingen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2319,1084,46.7,1068,499,569,46.7
"......Wila","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1399,681,48.7,667,372,295,55.8
"......Wildberg","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",719,357,49.7,348,139,209,39.9
"......Illnau-Effretikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",10457,4455,42.6,4369,2366,2003,54.2
"......Bauma","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3183,1394,43.8,1364,722,642,52.9
">> Bezirk Uster","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",76951,31278,40.6,30824,15141,15683,49.1
"......Dübendorf","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",14580,5381,36.9,5298,2581,2717,48.7
"......Egg","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",5541,2492,45.0,2444,1183,1261,48.4
"......Fällanden","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",5195,2104,40.5,2076,991,1085,47.7
"......Greifensee","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3441,1564,45.5,1542,759,783,49.2
"......Maur","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",6430,3072,47.8,3031,1348,1683,44.5
"......Mönchaltorf","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2458,1123,45.7,1105,570,535,51.6
"......Schwerzenbach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2963,1224,41.3,1208,559,649,46.3
"......Uster","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",21025,8728,41.5,8595,4626,3969,53.8
"......Volketswil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",10762,4046,37.6,4003,1858,2145,46.4
"......Wangen-Brüttisellen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",4556,1544,33.9,1522,666,856,43.8
">> Bezirk Winterthur","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",104459,45407,43.5,44622,25597,19025,57.4
"......Altikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",481,206,42.8,203,100,103,49.3
"......Brütten","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1494,751,50.3,741,334,407,45.1
"......Dägerlen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",713,352,49.4,350,207,143,59.1
"......Dättlikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",542,282,52.0,278,123,155,44.2
"......Dinhard","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1059,505,47.7,497,277,220,55.7
"......Ellikon an der Thur","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",618,295,47.7,289,150,139,51.9
"......Elsau","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2357,1119,47.5,1104,575,529,52.1
"......Hagenbuch","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",816,323,39.6,320,164,156,51.3
"......Hettlingen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2110,1111,52.7,1092,540,552,49.5
"......Neftenbach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3757,1549,41.2,1529,777,752,50.8
"......Pfungen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2022,737,36.4,725,407,318,56.1
"......Rickenbach (ZH)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1820,840,46.2,825,422,403,51.2
"......Schlatt (ZH)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",517,258,49.9,254,155,99,61.0
"......Seuzach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",5175,2307,44.6,2285,1169,1116,51.2
"......Turbenthal","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2852,1103,38.7,1086,628,458,57.8
"......Winterthur","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",67156,28710,42.8,28164,16938,11226,60.1
"......Zell (ZH)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3558,1417,39.8,1393,820,573,58.9
"......Elgg","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3070,1416,46.1,1387,773,614,55.7
"......Wiesendangen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",4342,2126,49.0,2100,1038,1062,49.4
">> Bezirk Dietikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",47098,18617,39.5,18367,9123,9244,49.7
"......Aesch (ZH)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",784,405,51.7,399,175,224,43.9
"......Birmensdorf (ZH)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3871,1772,45.8,1749,851,898,48.7
"......Dietikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",12120,4408,36.4,4335,2436,1899,56.2
"......Geroldswil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3125,1170,37.4,1153,511,642,44.3
"......Oberengstringen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3925,1523,38.8,1514,814,700,53.8
"......Oetwil an der Limmat","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1720,721,41.9,707,273,434,38.6
"......Schlieren","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",7761,2493,32.1,2465,1320,1145,53.5
"......Uitikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2851,1584,55.6,1570,569,1001,36.2
"......Unterengstringen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2251,965,42.9,950,370,580,38.9
"......Urdorf","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",6068,2513,41.4,2474,1331,1143,53.8
"......Weiningen (ZH)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2622,1063,40.5,1051,473,578,45.0
">> Bezirk Zürich","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",227886,96064,42.2,94367,55252,39115,58.6
"......Zürich","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",227886,96064,42.2,94367,55252,39115,58.6
"......ZH-Ausland-CH","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",...,...,...,...,...,...,...
"- Bern / Berne","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",717009,294425,41.1,289609,159106,130503,54.9
">> Arrondissement administratif Jura bernois","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",35849,15550,43.4,15200,8912,6288,58.6
"......Corgémont","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1107,572,51.7,557,295,262,53.0
"......Cormoret","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",378,182,48.1,179,105,74,58.7
"......Cortébert","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",508,198,39.0,195,118,77,60.5
"......Courtelary","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",877,416,47.4,405,264,141,65.2
"......La Ferrière","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",395,131,33.2,128,64,64,50.0
"......Mont-Tramelan","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",102,35,34.3,35,20,15,57.1
"......Orvin","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",875,321,36.7,314,172,142,54.8
"......Renan (BE)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",646,257,39.8,253,143,110,56.5
"......Romont (BE)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",158,49,31.0,47,37,10,78.7
