Kanton,Gemeinde,Schweizer,Ausländer,Einbürgerungen,Ja,Nein,Anteil Schweizer,Anteil Ausl,Anteil Ja,Anteil Nein,Einwohner,Quantile
AG,Burg (AG),664,329,5,184,69,0.6686807654,0.3313192346,0.7272727273,0.2727272727,993,25% - 50%
BL,Burg im Leimental,233,23,0,67,46,0.91015625,0.08984375,0.592920354,0.407079646,256,0% - 25%
BE,Burgdorf,13610,2049,55,2406,3575,0.8691487324,0.1308512676,0.4022738672,0.5977261328,15659,90% - 99%
BE,Burgistein,1007,24,1,284,151,0.9767216295,0.02327837051,0.6528735632,0.3471264368,1031,25% - 50%
TG,Bürglen (TG),2563,898,17,698,389,0.7405374169,0.2594625831,0.6421343146,0.3578656854,3461,75% - 90%
UR,Bürglen (UR),3712,205,1,947,539,0.9476640286,0.05233597141,0.6372812921,0.3627187079,3917,75% - 90%
LU,Büron,1679,532,13,455,254,0.7593848937,0.2406151063,0.6417489422,0.3582510578,2211,50% - 75%
VD,Bursinel,303,150,1,50,90,0.6688741722,0.3311258278,0.3571428571,0.6428571429,453,0% - 25%
VD,Bursins,584,164,7,114,206,0.7807486631,0.2192513369,0.35625,0.64375,748,25% - 50%
VD,Burtigny,282,72,1,63,79,0.7966101695,0.2033898305,0.4436619718,0.5563380282,354,0% - 25%
GR,Buseno,88,6,0,27,17,0.9361702128,0.06382978723,0.6136363636,0.3863636364,94,0% - 25%
SO,Büsserach,1844,208,1,551,300,0.8986354776,0.1013645224,0.6474735605,0.3525264395,2052,50% - 75%
VD,Bussigny-près-Lausanne,5290,2832,55,1060,1402,0.6513174095,0.3486825905,0.4305442729,0.5694557271,8122,90% - 99%
TG,Bussnang,1936,253,2,579,271,0.8844221106,0.1155778894,0.6811764706,0.3188235294,2189,50% - 75%
BE,Busswil bei Melchnau,186,14,1,61,24,0.93,0.07,0.7176470588,0.2823529412,200,0% - 25%
FR,Bussy (FR),347,38,0,83,64,0.9012987013,0.0987012987,0.5646258503,0.4353741497,385,0% - 25%
VD,Bussy-Chardonney,340,47,3,53,112,0.8785529716,0.1214470284,0.3212121212,0.6787878788,387,0% - 25%
VD,Bussy-sur-Moudon,172,15,1,46,44,0.9197860963,0.08021390374,0.5111111111,0.4888888889,187,0% - 25%
SG,Bütschwil-Ganterschwil,3948,592,24,1107,620,0.8696035242,0.1303964758,0.6409959467,0.3590040533,4540,75% - 90%
SH,Büttenhardt,314,42,1,126,67,0.8820224719,0.1179775281,0.6528497409,0.3471502591,356,0% - 25%
AG,Büttikon,797,152,6,248,116,0.8398314015,0.1601685985,0.6813186813,0.3186813187,949,25% - 50%
LU,Buttisholz,2888,369,3,748,486,0.8867055573,0.1132944427,0.6061588331,0.3938411669,3257,50% - 75%
AG,Buttwil,1088,86,1,293,181,0.926746167,0.07325383305,0.6181434599,0.3818565401,1174,25% - 50%
BL,Buus,888,67,1,271,149,0.9298429319,0.07015706806,0.6452380952,0.3547619048,955,25% - 50%
TI,Cademario,600,118,2,195,87,0.8356545961,0.1643454039,0.6914893617,0.3085106383,718,25% - 50%
TI,Cadempino,1066,430,6,414,140,0.7125668449,0.2874331551,0.7472924188,0.2527075812,1496,50% - 75%
TI,Cadenazzo,1553,886,12,422,161,0.6367363674,0.3632636326,0.7238421955,0.2761578045,2439,50% - 75%
GR,Cama,446,89,1,135,36,0.8336448598,0.1663551402,0.7894736842,0.2105263158,535,0% - 25%
TI,Camorino,2222,509,18,700,331,0.8136213841,0.1863786159,0.6789524733,0.3210475267,2731,50% - 75%
TI,Campo (Vallemaggia),49,6,0,15,9,0.8909090909,0.1090909091,0.625,0.375,55,0% - 25%
TI,Canobbio,1567,396,1,579,223,0.7982679572,0.2017320428,0.7219451372,0.2780548628,1963,50% - 75%
TI,Capriasca,5658,708,6,1837,956,0.8887841659,0.1112158341,0.6577157179,0.3422842821,6366,75% - 90%
GE,Carouge (GE),12832,7543,108,2182,3650,0.629791411,0.370208589,0.3741426612,0.6258573388,20375,90% - 99%
VD,Carrouge (VD),836,189,4,144,228,0.8156097561,0.1843902439,0.3870967742,0.6129032258,1025,25% - 50%
GE,Cartigny,683,184,3,124,263,0.7877739331,0.2122260669,0.3204134367,0.6795865633,867,25% - 50%
TI,Caslano,3064,1195,28,1046,449,0.7194177037,0.2805822963,0.6996655518,0.3003344482,4259,75% - 90%
GR,Castaneda,223,13,1,67,43,0.9449152542,0.05508474576,0.6090909091,0.3909090909,236,0% - 25%
TI,Castel San Pietro,1811,239,10,738,305,0.8834146341,0.1165853659,0.7075743049,0.2924256951,2050,50% - 75%
GR,Casti-Wergenstein,46,3,0,16,6,0.9387755102,0.0612244898,0.7272727273,0.2727272727,49,0% - 25%
GR,Cauco,34,1,0,4,11,0.9714285714,0.02857142857,0.2666666667,0.7333333333,35,0% - 25%
GR,Cazis,1791,330,12,401,320,0.8444130127,0.1555869873,0.5561719834,0.4438280166,2121,50% - 75%
GR,Celerina/Schlarigna,993,516,16,203,257,0.6580516899,0.3419483101,0.4413043478,0.5586956522,1509,50% - 75%
GE,Céligny,443,180,2,68,149,0.7110754414,0.2889245586,0.3133640553,0.6866359447,623,25% - 50%
TI,Centovalli,1059,133,1,315,157,0.8884228188,0.1115771812,0.6673728814,0.3326271186,1192,25% - 50%
TI,Cerentino,53,9,0,8,12,0.8548387097,0.1451612903,0.4,0.6,62,0% - 25%
TI,Cevio,992,163,1,264,150,0.8588744589,0.1411255411,0.6376811594,0.3623188406,1155,25% - 50%
FR,Châbles,611,99,3,144,129,0.8605633803,0.1394366197,0.5274725275,0.4725274725,710,25% - 50%
VS,Chalais,2717,532,13,650,733,0.8362573099,0.1637426901,0.4699927693,0.5300072307,3249,50% - 75%
ZG,Cham,11675,3345,67,2826,2863,0.7772969374,0.2227030626,0.4967481104,0.5032518896,15020,90% - 99%
VD,Chamblon,479,71,2,109,127,0.8709090909,0.1290909091,0.4618644068,0.5381355932,550,0% - 25%
VS,Chamoson,2681,605,6,689,771,0.8158855752,0.1841144248,0.4719178082,0.5280821918,3286,75% - 90%
VD,Champagne,796,164,0,146,212,0.8291666667,0.1708333333,0.4078212291,0.5921787709,960,25% - 50%
VS,Champéry,939,313,3,220,286,0.75,0.25,0.4347826087,0.5652173913,1252,25% - 50%
BE,Champoz,156,0,0,47,33,1,0,0.5875,0.4125,156,0% - 25%
VD,Champtauroz,108,12,0,23,33,0.9,0.1,0.4107142857,0.5892857143,120,0% - 25%
VD,Champvent,512,86,0,107,114,0.856187291,0.143812709,0.4841628959,0.5158371041,598,25% - 50%
GE,Chancy,886,243,2,180,241,0.784765279,0.215234721,0.4275534442,0.5724465558,1129,25% - 50%
FR,Chapelle (Glâne),229,29,1,51,50,0.8875968992,0.1124031008,0.504950495,0.495049505,258,0% - 25%
VD,Chardonne,2086,686,17,402,740,0.7525252525,0.2474747475,0.3520140105,0.6479859895,2772,50% - 75%
VS,Charrat,1068,458,12,315,342,0.6998689384,0.3001310616,0.4794520548,0.5205479452,1526,50% - 75%
