Kanton,Gemeinde,Schweizer,Ausländer,Einbürgerungen,Ja,Nein,Anteil Schweizer,Anteil Ausl,Anteil Ja,Anteil Nein,Einwohner,Quantile
BE,Court,1305,117,4,297,210,0.917721519,0.08227848101,0.5857988166,0.4142011834,1422,50% - 75%
JU,Courtedoux,699,41,0,158,156,0.9445945946,0.05540540541,0.5031847134,0.4968152866,740,25% - 50%
BE,Courtelary,1093,166,15,256,237,0.8681493249,0.1318506751,0.5192697769,0.4807302231,1259,25% - 50%
FR,Courtepin,1981,1522,21,434,403,0.5655152726,0.4344847274,0.5185185185,0.4814814815,3503,75% - 90%
JU,Courtételle,2113,346,10,356,478,0.8592923953,0.1407076047,0.4268585132,0.5731414868,2459,50% - 75%
VD,Crans-près-Céligny,1430,678,18,257,489,0.6783681214,0.3216318786,0.3445040214,0.6554959786,2108,50% - 75%
VD,Crassier,754,334,2,135,245,0.6930147059,0.3069852941,0.3552631579,0.6447368421,1088,25% - 50%
VD,Cremin,43,13,1,15,10,0.7678571429,0.2321428571,0.6,0.4,56,0% - 25%
BE,Crémines,492,39,0,96,90,0.9265536723,0.07344632768,0.5161290323,0.4838709677,531,0% - 25%
TI,Cresciano,415,225,1,160,29,0.6484375,0.3515625,0.8465608466,0.1534391534,640,25% - 50%
FR,Cressier (FR),649,187,4,127,196,0.7763157895,0.2236842105,0.3931888545,0.6068111455,836,25% - 50%
NE,Cressier (NE),1422,501,12,283,393,0.7394695788,0.2605304212,0.4186390533,0.5813609467,1923,50% - 75%
FR,Crésuz,238,63,1,67,58,0.7906976744,0.2093023256,0.536,0.464,301,0% - 25%
VD,Crissier,4160,3242,58,714,1035,0.5620102675,0.4379897325,0.4082332762,0.5917667238,7402,90% - 99%
TI,Croglio,697,125,3,254,120,0.8479318735,0.1520681265,0.679144385,0.320855615,822,25% - 50%
VD,Cronay,299,30,0,70,98,0.9088145897,0.09118541033,0.4166666667,0.5833333333,329,0% - 25%
VD,Croy,292,23,0,52,83,0.926984127,0.07301587302,0.3851851852,0.6148148148,315,0% - 25%
VD,Cuarnens,333,51,1,67,121,0.8671875,0.1328125,0.3563829787,0.6436170213,384,0% - 25%
VD,Cuarny,158,8,0,58,32,0.9518072289,0.04819277108,0.6444444444,0.3555555556,166,0% - 25%
VD,Cudrefin,1248,178,5,238,314,0.8751753156,0.1248246844,0.4311594203,0.5688405797,1426,50% - 75%
TI,Cugnasco-Gerra,2465,414,17,800,315,0.8562000695,0.1437999305,0.7174887892,0.2825112108,2879,50% - 75%
FR,Cugy (FR),1299,197,1,334,262,0.868315508,0.131684492,0.5604026846,0.4395973154,1496,50% - 75%
VD,Cugy (VD),1963,585,7,359,632,0.7704081633,0.2295918367,0.3622603431,0.6377396569,2548,50% - 75%
GR,Cunter,179,69,0,40,38,0.7217741935,0.2782258065,0.5128205128,0.4871794872,248,0% - 25%
TI,Cureglia,1126,177,4,374,228,0.8641596316,0.1358403684,0.6212624585,0.3787375415,1303,25% - 50%
TI,Curio,452,85,0,196,82,0.8417132216,0.1582867784,0.7050359712,0.2949640288,537,0% - 25%
VD,Curtilles,269,28,0,59,79,0.9057239057,0.09427609428,0.4275362319,0.5724637681,297,0% - 25%
ZH,Dachsen,1691,269,1,451,416,0.862755102,0.137244898,0.5201845444,0.4798154556,1960,50% - 75%
ZH,Dägerlen,893,93,1,274,213,0.9056795132,0.09432048682,0.5626283368,0.4373716632,986,25% - 50%
LU,Dagmersellen,4420,683,5,1220,768,0.8661571625,0.1338428375,0.6136820926,0.3863179074,5103,75% - 90%
VD,Daillens,752,161,2,144,215,0.8236582694,0.1763417306,0.4011142061,0.5988857939,913,25% - 50%
NW,Dallenwil,1644,138,4,536,256,0.9225589226,0.07744107744,0.6767676768,0.3232323232,1782,50% - 75%
ZH,Dällikon,2709,1024,18,736,436,0.7256897937,0.2743102063,0.6279863481,0.3720136519,3733,75% - 90%
TI,Dalpe,173,16,0,78,30,0.9153439153,0.08465608466,0.7222222222,0.2777777778,189,0% - 25%
JU,Damphreux,166,10,0,51,31,0.9431818182,0.05681818182,0.6219512195,0.3780487805,176,0% - 25%
SO,Däniken,2271,498,3,724,386,0.8201516793,0.1798483207,0.6522522523,0.3477477477,2769,50% - 75%
ZH,Dänikon,1408,520,5,420,242,0.7302904564,0.2697095436,0.6344410876,0.3655589124,1928,50% - 75%
GE,Dardagny,1069,429,8,203,304,0.7136181575,0.2863818425,0.4003944773,0.5996055227,1498,50% - 75%
BE,Därligen,372,48,0,100,68,0.8857142857,0.1142857143,0.5952380952,0.4047619048,420,0% - 25%
BE,Därstetten,818,32,0,263,71,0.9623529412,0.03764705882,0.7874251497,0.2125748503,850,25% - 50%
ZH,Dättlikon,687,61,5,178,184,0.9184491979,0.08155080214,0.4917127072,0.5082872928,748,25% - 50%
GR,Davos,8311,2845,48,1653,1805,0.7449802797,0.2550197203,0.478021978,0.521978022,11156,90% - 99%
SG,Degersheim,3248,714,13,793,667,0.8197879859,0.1802120141,0.5431506849,0.4568493151,3962,75% - 90%
SO,Deitingen,2010,223,7,525,446,0.9001343484,0.09986565159,0.5406797116,0.4593202884,2233,50% - 75%
JU,Delémont,8824,2985,59,1214,2541,0.7472266915,0.2527733085,0.3233022636,0.6766977364,11809,90% - 99%
FR,Delley-Portalban,863,108,1,240,175,0.8887744593,0.1112255407,0.578313253,0.421686747,971,25% - 50%
VD,Démoret,117,11,0,35,39,0.9140625,0.0859375,0.472972973,0.527027027,128,0% - 25%
VD,Denens,561,112,4,83,188,0.8335809807,0.1664190193,0.3062730627,0.6937269373,673,25% - 50%
VD,Denges,1084,471,0,195,339,0.6971061093,0.3028938907,0.3651685393,0.6348314607,1555,50% - 75%
AG,Densbüren,634,60,1,187,99,0.9135446686,0.08645533141,0.6538461538,0.3461538462,694,25% - 50%
SO,Derendingen,4345,1713,22,1108,776,0.7172334104,0.2827665896,0.5881104034,0.4118895966,6058,75% - 90%
JU,Develier,1233,161,12,205,297,0.8845050215,0.1154949785,0.4083665339,0.5916334661,1394,50% - 75%
BL,Diegten,1401,154,6,402,210,0.9009646302,0.09903536977,0.6568627451,0.3431372549,1555,50% - 75%
ZH,Dielsdorf,4188,1602,38,1103,787,0.7233160622,0.2766839378,0.5835978836,0.4164021164,5790,75% - 90%
BE,Diemerswil,186,4,0,45,44,0.9789473684,0.02105263158,0.5056179775,0.4943820225,190,0% - 25%
BE,Diemtigen,2064,78,1,671,176,0.9635854342,0.03641456583,0.7922077922,0.2077922078,2142,50% - 75%
BL,Diepflingen,573,72,0,162,93,0.888372093,0.111627907,0.6352941176,0.3647058824,645,25% - 50%
SG,Diepoldsau,4654,1303,23,1186,746,0.7812657378,0.2187342622,0.6138716356,0.3861283644,5957,75% - 90%
LU,Dierikon,1225,242,8,293,203,0.8350374915,0.1649625085,0.5907258065,0.4092741935,1467,50% - 75%
BE,Diessbach bei Büren,827,88,1,221,142,0.9038251366,0.09617486339,0.608815427,0.391184573,915,25% - 50%
TG,Diessenhofen,2398,1177,14,666,464,0.6707692308,0.3292307692,0.589380531,0.410619469,3575,75% - 90%
ZH,Dietikon,14616,10227,197,3155,2590,0.5883347422,0.4116652578,0.5491731941,0.4508268059,24843,90% - 99%
ZH,Dietlikon,5557,1613,24,1378,1232,0.7750348675,0.2249651325,0.5279693487,0.4720306513,7170,90% - 99%
AG,Dietwil,1072,142,0,318,138,0.8830313015,0.1169686985,0.6973684211,0.3026315789,1214,25% - 50%
ZH,Dinhard,1330,121,3,401,301,0.916609235,0.08339076499,0.5712250712,0.4287749288,1451,50% - 75%
AG,Dintikon,1557,462,5,483,239,0.7711738484,0.2288261516,0.6689750693,0.3310249307,2019,50% - 75%
GR,Disentis/Mustér,1817,228,2,433,417,0.8885085575,0.1114914425,0.5094117647,0.4905882353,2045,50% - 75%
BL,Dittingen,686,67,1,177,135,0.9110225764,0.08897742364,0.5673076923,0.4326923077,753,25% - 50%
VD,Dizy,196,17,3,40,60,0.9201877934,0.07981220657,0.4,0.6,213,0% - 25%
GR,Domat/Ems,5926,1522,25,1231,1186,0.7956498389,0.2043501611,0.5093090608,0.4906909392,7448,90% - 99%
FR,Domdidier,2284,600,2,479,458,0.7919556172,0.2080443828,0.5112059765,0.4887940235,2884,50% - 75%
FR,Dompierre (FR),682,229,3,158,89,0.7486278814,0.2513721186,0.6396761134,0.3603238866,911,25% - 50%
VD,Dompierre (VD),226,26,1,63,56,0.8968253968,0.1031746032,0.5294117647,0.4705882353,252,0% - 25%
GR,Donat,208,5,0,29,54,0.9765258216,0.0234741784,0.3493975904,0.6506024096,213,0% - 25%
VD,Donneloye,683,69,2,157,156,0.9082446809,0.09175531915,0.5015974441,0.4984025559,752,25% - 50%
LU,Doppleschwand,715,24,0,216,78,0.9675236806,0.03247631935,0.7346938776,0.2653061224,739,25% - 50%
VS,Dorénaz,655,141,3,191,146,0.8228643216,0.1771356784,0.5667655786,0.4332344214,796,25% - 50%
ZH,Dorf,589,45,0,217,93,0.929022082,0.07097791798,0.7,0.3,634,25% - 50%
SH,Dörflingen,770,137,0,365,126,0.848952591,0.151047409,0.7433808554,0.2566191446,907,25% - 50%
SO,Dornach,4831,1494,17,969,1335,0.7637944664,0.2362055336,0.4205729167,0.5794270833,6325,75% - 90%
AG,Dottikon,2387,1184,5,677,397,0.6684402128,0.3315597872,0.6303538175,0.3696461825,3571,75% - 90%
AG,Döttingen,2309,1428,2,682,447,0.617875301,0.382124699,0.6040744021,0.3959255979,3737,75% - 90%
BE,Dotzigen,1287,102,1,362,221,0.9265658747,0.07343412527,0.6209262436,0.3790737564,1389,50% - 75%
TG,Dozwil,588,77,1,195,80,0.8842105263,0.1157894737,0.7090909091,0.2909090909,665,25% - 50%
SO,Drei Höfe,698,28,2,223,133,0.9614325069,0.03856749311,0.6264044944,0.3735955056,726,25% - 50%
ZH,Dübendorf,17429,7912,197,4099,3504,0.6877786986,0.3122213014,0.5391292911,0.4608707089,25341,90% - 99%
FR,Düdingen,6672,832,24,1607,1527,0.8891257996,0.1108742004,0.5127632419,0.4872367581,7504,90% - 99%
BL,Duggingen,1188,233,2,299,248,0.8360309641,0.1639690359,0.5466179159,0.4533820841,1421,50% - 75%
VD,Duillier,786,271,3,119,263,0.7436140019,0.2563859981,0.3115183246,0.6884816754,1057,25% - 50%
SO,Dulliken,2835,1890,27,808,607,0.6,0.4,0.571024735,0.428975265,4725,75% - 90%
VD,Dully,345,217,8,55,109,0.6138790036,0.3861209964,0.3353658537,0.6646341463,562,0% - 25%
ZH,Dürnten,5955,1209,24,1685,1115,0.831239531,0.168760469,0.6017857143,0.3982142857,7164,90% - 99%
AG,Dürrenäsch,1083,115,3,395,125,0.9040066778,0.0959933222,0.7596153846,0.2403846154,1198,25% - 50%
BE,Dürrenroth,1049,22,0,318,106,0.97945845,0.02054154995,0.75,0.25,1071,25% - 50%
LU,Ebersecken,397,18,0,139,46,0.956626506,0.04337349398,0.7513513514,0.2486486486,415,0% - 25%
LU,Ebikon,9923,2648,94,2335,2003,0.7893564553,0.2106435447,0.5382664822,0.4617335178,12571,90% - 99%
SG,Ebnat-Kappel,4195,750,8,1238,848,0.8483316481,0.1516683519,0.5934803452,0.4065196548,4945,75% - 90%
VD,Echallens,4289,1079,33,802,1071,0.7989940387,0.2010059613,0.4281900694,0.5718099306,5368,75% - 90%
VD,Echandens,1757,453,11,365,569,0.7950226244,0.2049773756,0.3907922912,0.6092077088,2210,50% - 75%
FR,Echarlens,668,99,6,123,167,0.8709256845,0.1290743155,0.424137931,0.575862069,767,25% - 50%
VD,Echichens,2083,423,9,367,661,0.8312051077,0.1687948923,0.3570038911,0.6429961089,2506,50% - 75%
VD,Eclépens,753,259,4,186,224,0.7440711462,0.2559288538,0.4536585366,0.5463414634,1012,25% - 50%
FR,Ecublens (FR),279,25,0,77,71,0.9177631579,0.08223684211,0.5202702703,0.4797297297,304,0% - 25%
VD,Ecublens (VD),6408,5019,101,1320,1581,0.5607771069,0.4392228931,0.4550155119,0.5449844881,11427,90% - 99%
JU,Ederswiler,116,3,1,46,4,0.974789916,0.02521008403,0.92,0.08,119,0% - 25%
AG,Effingen,516,65,6,138,111,0.8881239243,0.1118760757,0.5542168675,0.4457831325,581,0% - 25%
SO,Egerkingen,2439,855,7,650,428,0.7404371585,0.2595628415,0.6029684601,0.3970315399,3294,75% - 90%
ZH,Egg,6759,1546,28,1710,1656,0.8138470801,0.1861529199,0.5080213904,0.4919786096,8305,90% - 99%
AG,Eggenwil,751,153,8,231,177,0.8307522124,0.1692477876,0.5661764706,0.4338235294,904,25% - 50%
VS,Eggerberg,325,17,0,107,54,0.9502923977,0.04970760234,0.6645962733,0.3354037267,342,0% - 25%
SG,Eggersriet,2052,186,8,534,457,0.9168900804,0.08310991957,0.5388496468,0.4611503532,2238,50% - 75%
BE,Eggiwil,2388,39,2,694,203,0.9839307787,0.01606922126,0.773690078,0.226309922,2427,50% - 75%
ZH,Eglisau,3729,980,25,995,900,0.7918878743,0.2081121257,0.5250659631,0.4749340369,4709,75% - 90%
AG,Egliswil,1222,110,0,323,224,0.9174174174,0.08258258258,0.5904936015,0.4095063985,1332,25% - 50%
TG,Egnach,3784,546,2,967,699,0.8739030023,0.1260969977,0.5804321729,0.4195678271,4330,75% - 90%
LU,Egolzwil,1212,109,6,317,233,0.9174867525,0.08251324754,0.5763636364,0.4236363636,1321,25% - 50%
AG,Ehrendingen,3610,694,6,931,707,0.8387546468,0.1612453532,0.5683760684,0.4316239316,4304,75% - 90%
LU,Eich,1595,95,0,448,365,0.9437869822,0.05621301775,0.5510455105,0.4489544895,1690,50% - 75%
SG,Eichberg,1268,240,0,378,164,0.8408488064,0.1591511936,0.6974169742,0.3025830258,1508,50% - 75%
AG,Eiken,1766,370,17,410,249,0.8267790262,0.1732209738,0.62215478,0.37784522,2136,50% - 75%
SZ,Einsiedeln,12618,2014,43,4130,2330,0.862356479,0.137643521,0.6393188854,0.3606811146,14632,90% - 99%
VS,Eischoll,440,14,0,116,87,0.9691629956,0.03083700441,0.5714285714,0.4285714286,454,0% - 25%
VS,Eisten,215,1,0,48,46,0.9953703704,0.00462962963,0.5106382979,0.4893617021,216,0% - 25%
AG,Elfingen,233,38,3,52,63,0.8597785978,0.1402214022,0.452173913,0.547826087,271,0% - 25%
ZH,Elgg,3388,646,23,953,737,0.83986118,0.16013882,0.5639053254,0.4360946746,4034,75% - 90%
ZH,Ellikon an der Thur,800,116,4,218,144,0.8733624454,0.1266375546,0.6022099448,0.3977900552,916,25% - 50%
ZH,Elsau,2837,518,16,825,672,0.8456035768,0.1543964232,0.5511022044,0.4488977956,3355,75% - 90%
VS,Embd,310,1,0,88,45,0.9967845659,0.003215434084,0.6616541353,0.3383458647,311,0% - 25%
ZH,Embrach,6760,2226,63,1708,1160,0.7522813265,0.2477186735,0.5955369596,0.4044630404,8986,90% - 99%
LU,Emmen,19321,9380,177,4741,3364,0.6731821191,0.3268178809,0.5849475632,0.4150524368,28701,99% - 100%
NW,Emmetten,1088,240,4,371,163,0.8192771084,0.1807228916,0.6947565543,0.3052434457,1328,25% - 50%
AG,Endingen,2006,397,10,477,444,0.834789846,0.165210154,0.5179153094,0.4820846906,2403,50% - 75%
OW,Engelberg,3018,971,8,885,652,0.7565805966,0.2434194034,0.5757970072,0.4242029928,3989,75% - 90%
NE,Enges,233,24,0,48,75,0.906614786,0.09338521401,0.3902439024,0.6097560976,257,0% - 25%
AG,Ennetbaden,2475,692,7,393,1029,0.7814966846,0.2185033154,0.276371308,0.723628692,3167,50% - 75%
NW,Ennetbürgen,3957,527,4,1180,951,0.882471008,0.117528992,0.5537306429,0.4462693571,4484,75% - 90%
NW,Ennetmoos,1897,198,8,601,306,0.9054892601,0.09451073986,0.6626240353,0.3373759647,2095,50% - 75%
LU,Entlebuch,3120,176,6,1005,418,0.9466019417,0.05339805825,0.7062543921,0.2937456079,3296,75% - 90%
VD,Epalinges,6412,2378,43,1066,2173,0.7294653015,0.2705346985,0.3291139241,0.6708860759,8790,90% - 99%
FR,Ependes (FR),969,126,3,220,247,0.8849315068,0.1150684932,0.4710920771,0.5289079229,1095,25% - 50%
VD,Ependes (VD),287,39,3,69,70,0.8803680982,0.1196319018,0.4964028777,0.5035971223,326,0% - 25%
SO,Eppenberg-Wöschnau,217,99,0,72,32,0.6867088608,0.3132911392,0.6923076923,0.3076923077,316,0% - 25%
BE,Epsach,318,5,0,97,48,0.9845201238,0.01547987616,0.6689655172,0.3310344828,323,0% - 25%
BL,Eptingen,481,34,0,153,77,0.9339805825,0.06601941748,0.6652173913,0.3347826087,515,0% - 25%
VS,Ergisch,196,6,0,97,34,0.9702970297,0.0297029703,0.7404580153,0.2595419847,202,0% - 25%
BE,Eriswil,1311,49,1,324,158,0.9639705882,0.03602941176,0.6721991701,0.3278008299,1360,50% - 75%
BE,Eriz,476,14,0,192,44,0.9714285714,0.02857142857,0.813559322,0.186440678,490,0% - 25%
BE,Erlach,1143,197,0,229,301,0.8529850746,0.1470149254,0.4320754717,0.5679245283,1340,25% - 50%
TG,Erlen,2538,729,2,622,342,0.7768595041,0.2231404959,0.6452282158,0.3547717842,3267,50% - 75%
ZH,Erlenbach (ZH),4311,1014,33,869,1384,0.8095774648,0.1904225352,0.385707945,0.614292055,5325,75% - 90%
BE,Erlenbach im Simmental,1593,90,4,475,208,0.9465240642,0.05347593583,0.6954612006,0.3045387994,1683,50% - 75%
AG,Erlinsbach (AG),3175,587,11,813,765,0.8439659755,0.1560340245,0.5152091255,0.4847908745,3762,75% - 90%
SO,Erlinsbach (SO),2787,476,4,706,571,0.8541219736,0.1458780264,0.5528582616,0.4471417384,3263,50% - 75%
TG,Ermatingen,2193,840,12,512,491,0.7230464886,0.2769535114,0.5104685942,0.4895314058,3033,50% - 75%
LU,Ermensee,773,101,0,223,165,0.8844393593,0.1155606407,0.574742268,0.425257732,874,25% - 50%
VS,Ernen,488,49,0,120,121,0.9087523277,0.09124767225,0.4979253112,0.5020746888,537,0% - 25%
SO,Erschwil,826,67,3,262,143,0.9249720045,0.07502799552,0.6469135802,0.3530864198,893,25% - 50%
BE,Ersigen,1927,66,0,593,318,0.9668840943,0.03311590567,0.6509330406,0.3490669594,1993,50% - 75%
UR,Erstfeld,3093,685,2,825,554,0.8186871361,0.1813128639,0.5982596084,0.4017403916,3778,75% - 90%
LU,Eschenbach (LU),3215,332,5,934,696,0.9063997745,0.09360022554,0.573006135,0.426993865,3547,75% - 90%
SG,Eschenbach (SG),7518,1242,22,2202,1093,0.8582191781,0.1417808219,0.6682852807,0.3317147193,8760,90% - 99%
TG,Eschenz,1374,277,1,389,239,0.8322228952,0.1677771048,0.6194267516,0.3805732484,1651,50% - 75%
BE,Eschert,312,54,0,67,49,0.8524590164,0.1475409836,0.5775862069,0.4224137931,366,0% - 25%
TG,Eschlikon,3575,492,10,943,689,0.8790263093,0.1209736907,0.5778186275,0.4221813725,4067,75% - 90%
LU,Escholzmatt-Marbach,4095,251,7,1279,605,0.9422457432,0.05775425679,0.6788747346,0.3211252654,4346,75% - 90%
VD,Essert-Pittet,115,36,0,22,28,0.761589404,0.238410596,0.44,0.56,151,0% - 25%
VD,Essertes,284,43,1,53,77,0.8685015291,0.1314984709,0.4076923077,0.5923076923,327,0% - 25%
VD,Essertines-sur-Rolle,496,167,2,90,148,0.7481146305,0.2518853695,0.3781512605,0.6218487395,663,25% - 50%
VD,Essertines-sur-Yverdon,784,89,1,179,181,0.8980526919,0.1019473081,0.4972222222,0.5027777778,873,25% - 50%
FR,Estavayer-le-Lac,4402,1609,21,883,996,0.7323240725,0.2676759275,0.4699308143,0.5300691857,6011,75% - 90%
VD,Etagnières,834,201,0,146,225,0.8057971014,0.1942028986,0.3935309973,0.6064690027,1035,25% - 50%
VD,Etoy,1981,860,12,269,576,0.6972896867,0.3027103133,0.3183431953,0.6816568047,2841,50% - 75%
BL,Ettingen,4135,752,10,1009,983,0.8461223655,0.1538776345,0.5065261044,0.4934738956,4887,75% - 90%
LU,Ettiswil,2290,196,2,624,410,0.9211584875,0.07884151247,0.6034816248,0.3965183752,2486,50% - 75%
SO,Etziken,725,44,0,212,124,0.9427828349,0.05721716515,0.630952381,0.369047619,769,25% - 50%
BE,Evilard,2202,263,13,397,688,0.893306288,0.106693712,0.3658986175,0.6341013825,2465,50% - 75%
VS,Evionnaz,967,203,6,236,244,0.8264957265,0.1735042735,0.4916666667,0.5083333333,1170,25% - 50%
VS,Evolène,1549,162,5,441,527,0.9053185272,0.09468147282,0.4555785124,0.5444214876,1711,50% - 75%
VD,Eysins,956,396,9,155,272,0.7071005917,0.2928994083,0.3629976581,0.6370023419,1352,50% - 75%
BE,Fahrni,779,17,0,251,98,0.9786432161,0.02135678392,0.7191977077,0.2808022923,796,25% - 50%
AG,Fahrwangen,1549,415,17,371,234,0.7886965377,0.2113034623,0.6132231405,0.3867768595,1964,50% - 75%
JU,Fahy,346,24,0,79,69,0.9351351351,0.06486486486,0.5337837838,0.4662162162,370,0% - 25%
TI,Faido,2321,860,11,792,409,0.7296447658,0.2703552342,0.659450458,0.340549542,3181,50% - 75%
GR,Falera,513,70,0,129,144,0.8799313894,0.1200686106,0.4725274725,0.5274725275,583,0% - 25%
ZH,Fällanden,6341,1731,54,1358,1548,0.785555005,0.214444995,0.4673090158,0.5326909842,8072,90% - 99%
VD,Faoug,625,128,6,119,153,0.8300132802,0.1699867198,0.4375,0.5625,753,25% - 50%
BE,Farnern,192,15,1,56,25,0.9275362319,0.07246376812,0.6913580247,0.3086419753,207,0% - 25%
FR,Farvagny,1854,276,8,368,424,0.8704225352,0.1295774648,0.4646464646,0.5353535354,2130,50% - 75%
VD,Féchy,612,213,10,130,196,0.7418181818,0.2581818182,0.3987730061,0.6012269939,825,25% - 50%
ZH,Fehraltorf,5203,1031,34,1320,1131,0.8346166185,0.1653833815,0.5385556916,0.4614443084,6234,75% - 90%
SO,Fehren,612,19,1,168,89,0.969889065,0.03011093502,0.6536964981,0.3463035019,631,25% - 50%
TG,Felben-Wellhausen,2101,453,4,499,299,0.8226311668,0.1773688332,0.6253132832,0.3746867168,2554,50% - 75%
SO,Feldbrunnen-St. Niklaus,859,60,0,217,306,0.9347116431,0.06528835691,0.4149139579,0.5850860421,919,25% - 50%
GR,Felsberg,2104,257,2,461,455,0.8911478187,0.1088521813,0.5032751092,0.4967248908,2361,50% - 75%
VS,Ferden,251,4,0,64,59,0.9843137255,0.01568627451,0.5203252033,0.4796747967,255,0% - 25%
BE,Ferenbalm,1152,91,0,360,220,0.9267900241,0.07320997586,0.6206896552,0.3793103448,1243,25% - 50%
VD,Ferlens (VD),304,15,0,70,84,0.9529780564,0.04702194357,0.4545454545,0.5454545455,319,0% - 25%
FR,Ferpicloz,254,24,0,56,56,0.9136690647,0.08633093525,0.5,0.5,278,0% - 25%
GR,Ferrera,81,8,0,23,17,0.9101123596,0.08988764045,0.575,0.425,89,0% - 25%
VD,Ferreyres,279,20,0,45,92,0.9331103679,0.06688963211,0.3284671533,0.6715328467,299,0% - 25%
FR,Fétigny,781,97,0,178,146,0.8895216401,0.1104783599,0.549382716,0.450617284,878,25% - 50%
ZH,Feuerthalen,2671,793,16,698,513,0.771073903,0.228926097,0.5763831544,0.4236168456,3464,75% - 90%
SZ,Feusisberg,3746,1199,9,1193,788,0.7575328615,0.2424671385,0.6022211005,0.3977788995,4945,75% - 90%
VD,Fey,522,67,0,100,163,0.8862478778,0.1137521222,0.3802281369,0.6197718631,589,0% - 25%
GR,Fideris,565,32,1,150,89,0.94639866,0.05360134003,0.6276150628,0.3723849372,597,25% - 50%
VS,Fiesch,780,165,5,197,193,0.8253968254,0.1746031746,0.5051282051,0.4948717949,945,25% - 50%
VS,Fieschertal,288,30,0,85,64,0.9056603774,0.09433962264,0.5704697987,0.4295302013,318,0% - 25%
VD,Fiez,347,42,0,65,107,0.8920308483,0.1079691517,0.3779069767,0.6220930233,389,0% - 25%
GR,Filisur,386,75,1,90,95,0.8373101952,0.1626898048,0.4864864865,0.5135135135,461,0% - 25%
VS,Finhaut,316,130,4,53,117,0.7085201794,0.2914798206,0.3117647059,0.6882352941,446,0% - 25%
BE,Finsterhennen,402,100,1,109,61,0.8007968127,0.1992031873,0.6411764706,0.3588235294,502,0% - 25%
LU,Fischbach,648,83,6,194,83,0.8864569083,0.1135430917,0.7003610108,0.2996389892,731,25% - 50%
AG,Fischbach-Göslikon,1354,119,7,374,213,0.9192124915,0.08078750849,0.6371379898,0.3628620102,1473,50% - 75%
ZH,Fischenthal,2061,268,5,676,278,0.8849291541,0.1150708459,0.7085953878,0.2914046122,2329,50% - 75%
TG,Fischingen,2387,209,4,688,353,0.9194915254,0.08050847458,0.6609029779,0.3390970221,2596,50% - 75%
AG,Fisibach,320,88,0,98,47,0.7843137255,0.2156862745,0.675862069,0.324137931,408,0% - 25%
AG,Fislisbach,4137,1304,35,955,802,0.7603381731,0.2396618269,0.5435401252,0.4564598748,5441,75% - 90%
ZH,Flaach,1174,157,6,398,199,0.8820435763,0.1179564237,0.6666666667,0.3333333333,1331,25% - 50%
GR,Fläsch,562,33,0,166,130,0.9445378151,0.05546218487,0.5608108108,0.4391891892,595,25% - 50%
SG,Flawil,7272,2854,30,1693,1437,0.7181512937,0.2818487063,0.5408945687,0.4591054313,10126,90% - 99%
GR,Flerden,208,8,0,33,53,0.962962963,0.03703703704,0.3837209302,0.6162790698,216,0% - 25%
GR,Flims,2091,552,1,500,528,0.7911464245,0.2088535755,0.486381323,0.513618677,2643,50% - 75%
UR,Flüelen,1761,227,1,401,295,0.8858148893,0.1141851107,0.5761494253,0.4238505747,1988,50% - 75%
LU,Flühli,1565,337,0,552,247,0.8228180862,0.1771819138,0.6908635795,0.3091364205,1902,50% - 75%
SO,Flumenthal,870,79,0,282,135,0.9167544784,0.0832455216,0.6762589928,0.3237410072,949,25% - 50%
SG,Flums,3740,1149,15,1142,468,0.764982614,0.235017386,0.7093167702,0.2906832298,4889,75% - 90%
ZH,Flurlingen,1210,204,3,314,337,0.85572843,0.14427157,0.4823348694,0.5176651306,1414,50% - 75%
VD,Fontaines-sur-Grandson,129,19,0,32,31,0.8716216216,0.1283783784,0.5079365079,0.4920634921,148,0% - 25%
JU,Fontenais,1541,145,1,288,407,0.9139976275,0.08600237248,0.4143884892,0.5856115108,1686,50% - 75%
VD,Forel (Lavaux),1646,361,3,352,452,0.8201295466,0.1798704534,0.4378109453,0.5621890547,2007,50% - 75%
VD,Forel-sur-Lucens,144,10,0,32,42,0.9350649351,0.06493506494,0.4324324324,0.5675675676,154,0% - 25%
BE,Forst-Längenbühl,719,32,0,218,110,0.9573901465,0.04260985353,0.6646341463,0.3353658537,751,25% - 50%
VD,Founex,1848,1581,30,279,600,0.5389326334,0.4610673666,0.3174061433,0.6825938567,3429,75% - 90%
FR,Fräschels,423,33,0,127,100,0.9276315789,0.07236842105,0.5594713656,0.4405286344,456,0% - 25%
TI,Frasco,99,3,0,38,12,0.9705882353,0.02941176471,0.76,0.24,102,0% - 25%
BE,Fraubrunnen,4579,223,2,1077,1032,0.9535610162,0.04643898376,0.5106685633,0.4893314367,4802,75% - 90%
TG,Frauenfeld,18563,5556,91,4044,4277,0.7696421908,0.2303578092,0.4859992789,0.5140007211,24119,90% - 99%
BE,Frauenkappelen,1146,95,1,294,265,0.9234488316,0.07655116841,0.5259391771,0.4740608229,1241,25% - 50%
SZ,Freienbach,11745,4013,46,3615,2610,0.7453357025,0.2546642975,0.5807228916,0.4192771084,15758,90% - 99%
ZH,Freienstein-Teufen,2010,307,10,563,462,0.867501079,0.132498921,0.5492682927,0.4507317073,2317,50% - 75%
AG,Freienwil,808,134,1,203,191,0.8577494692,0.1422505308,0.5152284264,0.4847715736,942,25% - 50%
