 

stn;time;tre200jx;rre150j0;sremaxdv
WAE;20090625;22.9;0.0;80
WAE;20090626;22.9;0.0;60
WAE;20090627;19.3;1.5;7
WAE;20090628;25.6;0.0;81
WAE;20090629;27.5;0.0;87
WAE;20090630;27.8;0.0;93
WAE;20090701;27.4;0.0;82
WAE;20090702;28.1;0.0;84
WAE;20090703;25.4;0.7;25
WAE;20090704;28.0;0.0;80
WAE;20090705;27.3;7.3;51
WAE;20090706;23.1;7.6;21
WAE;20090707;18.0;2.7;3
WAE;20090708;19.2;5.8;23
WAE;20090709;19.9;0.1;47
WAE;20090710;20.2;0.0;19
WAE;20090711;19.2;0.0;26
WAE;20090712;22.1;0.5;3
WAE;20090713;26.8;0.0;39
WAE;20090714;27.9;3.4;47
WAE;20090715;25.0;6.7;30
WAE;20090716;28.6;0.0;83
WAE;20090717;21.5;23.1;13
WAE;20090718;15.9;4.2;5
WAE;20090719;20.7;0.0;10
WAE;20090720;24.5;0.0;74
WAE;20090721;29.2;0.0;83
WAE;20090722;25.9;0.0;21
WAE;20090723;29.5;10.6;52
WAE;20090724;24.3;6.0;49
WAE;20090725;20.7;0.3;33
WAE;20090726;23.9;0.0;96
WAE;20090727;29.1;0.0;75
WAE;20090728;23.0;0.0;94
WAE;20090729;27.4;0.0;98
WAE;20090730;21.4;0.0;2
WAE;20090731;22.7;0.0;58
WAE;20090801;27.6;0.0;81
WAE;20090802;22.5;13.0;8
WAE;20090803;17.4;13.2;0
WAE;20090804;22.4;0.0;73
WAE;20090805;24.9;0.0;99
WAE;20090806;26.9;0.0;98
WAE;20090807;28.0;0.0;75
WAE;20090808;20.5;52.8;0
WAE;20090809;24.9;0.0;65
WAE;20090810;23.2;11.4;8
WAE;20090811;24.4;0.0;42
WAE;20090812;24.8;0.0;62
WAE;20090813;26.4;0.0;75
WAE;20090814;25.3;0.0;65
WAE;20090815;27.7;0.0;98
WAE;20090816;29.0;0.0;89
WAE;20090817;29.4;1.4;84
WAE;20090818;28.3;0.0;88
WAE;20090819;30.6;0.0;98
WAE;20090820;31.3;0.0;96
WAE;20090821;25.9;0.0;37
WAE;20090822;18.4;0.0;4
WAE;20090823;23.8;0.0;79
WAE;20090824;28.6;0.0;98
WAE;20090825;25.5;20.4;30
WAE;20090826;22.3;0.0;16
WAE;20090827;26.3;0.0;91
WAE;20090828;25.8;0.0;40
WAE;20090829;19.0;0.0;33
WAE;20090830;21.2;0.0;98
WAE;20090831;24.9;0.0;98
WAE;20090901;30.2;0.0;90
WAE;20090902;23.3;2.7;48
WAE;20090903;23.9;3.0;27
WAE;20090904;18.2;3.2;10
WAE;20090905;16.6;0.0;68
WAE;20090906;19.3;0.0;95
WAE;20090907;22.2;0.0;92
WAE;20090908;24.6;0.0;98
WAE;20090909;23.1;0.0;98
WAE;20090910;22.8;0.0;98
WAE;20090911;18.6;0.0;13
WAE;20090912;18.6;0.0;7
WAE;20090913;18.8;0.0;28
WAE;20090914;15.2;0.0;36
WAE;20090915;15.6;0.0;35
WAE;20090916;16.3;0.4;2
WAE;20090917;17.3;1.6;0
WAE;20090918;20.3;0.0;19
WAE;20090919;21.5;0.0;55
WAE;20090920;21.1;0.0;50
WAE;20090921;22.3;0.0;54
WAE;20090922;21.2;0.0;25
WAE;20090923;21.6;0.0;53
WAE;20090924;20.8;0.0;32
WAE;20090925;17.5;0.0;0
WAE;20090926;17.7;0.0;0
WAE;20090927;20.5;0.0;59
WAE;20090928;20.9;0.0;73
WAE;20090929;21.1;0.0;94
WAE;20090930;20.2;0.0;91
WAE;20091001;18.6;0.0;40
WAE;20091002;17.1;0.0;31
WAE;20091003;17.7;0.0;96
WAE;20091004;18.0;0.0;98
WAE;20091005;16.0;0.0;11
WAE;20091006;21.4;0.3;12
WAE;20091007;24.1;0.0;93
WAE;20091008;17.4;5.8;0
WAE;20091009;18.1;0.0;26
WAE;20091010;15.4;10.9;0
WAE;20091011;16.0;0.0;37
WAE;20091012;11.4;0.7;14
WAE;20091013;10.6;0.0;22
WAE;20091014;7.8;0.0;65
WAE;20091015;6.1;0.0;49
WAE;20091016;7.7;0.5;12
WAE;20091017;5.8;10.7;4
WAE;20091018;6.1;5.2;11
WAE;20091019;7.3;0.0;75
WAE;20091020;9.9;0.0;77
WAE;20091021;12.5;0.0;25
WAE;20091022;12.6;0.0;24
WAE;20091023;10.0;6.9;0
WAE;20091024;13.3;0.0;91
WAE;20091025;14.1;0.0;8
WAE;20091026;12.9;0.0;0
WAE;20091027;13.7;0.0;93
WAE;20091028;13.4;0.0;76
WAE;20091029;14.5;0.0;99
WAE;20091030;9.5;0.0;2
WAE;20091031;10.5;0.0;26
WAE;20091101;13.6;0.0;85
WAE;20091102;10.6;23.3;0
WAE;20091103;9.7;0.8;43
WAE;20091104;11.4;1.9;45
WAE;20091105;10.2;0.0;91
WAE;20091106;9.3;0.0;6
WAE;20091107;7.6;0.0;12
WAE;20091108;6.7;3.7;0
WAE;20091109;5.7;1.2;0
WAE;20091110;5.3;0.0;0
WAE;20091111;7.2;0.0;30
WAE;20091112;7.4;2.4;1
WAE;20091113;12.8;0.0;25
WAE;20091114;14.0;0.0;15
WAE;20091115;9.8;0.5;0
WAE;20091116;13.4;3.6;0
WAE;20091117;17.0;0.0;71
WAE;20091118;12.4;1.8;66
WAE;20091119;10.6;0.1;43
WAE;20091120;9.6;0.0;34
WAE;20091121;11.0;0.0;56
WAE;20091122;12.0;0.1;0
WAE;20091123;12.9;0.0;51
WAE;20091124;11.9;7.7;0
WAE;20091125;11.3;0.0;87
WAE;20091126;9.8;2.2;0
WAE;20091127;10.1;3.4;18
WAE;20091128;9.8;0.0;98
WAE;20091129;7.5;0.0;0
WAE;20091130;3.6;26.1;0
WAE;20091201;2.3;6.8;0
WAE;20091202;3.4;0.0;61
WAE;20091203;5.4;0.0;54
WAE;20091204;4.8;0.1;3
WAE;20091205;3.7;0.0;11
WAE;20091206;7.3;0.0;0
WAE;20091207;7.7;11.2;0
WAE;20091208;7.1;1.6;38
WAE;20091209;6.5;0.0;99
WAE;20091210;4.9;4.1;0
WAE;20091211;5.1;7.1;0
WAE;20091212;2.4;0.2;0
WAE;20091213;0.0;0.0;0
WAE;20091214;-1.2;0.0;0
WAE;20091215;-2.6;0.0;0
WAE;20091216;-1.5;0.2;37
WAE;20091217;-3.1;0.0;0
WAE;20091218;-3.2;0.0;0
WAE;20091219;-4.6;1.0;0
WAE;20091220;-4.3;0.0;67
WAE;20091221;1.4;0.1;1
WAE;20091222;8.1;0.0;55
WAE;20091223;4.5;2.4;3
WAE;20091224;3.8;0.0;0
WAE;20091225;8.1;0.9;0
WAE;20091226;3.1;0.0;67
WAE;20091227;5.1;0.3;55
WAE;20091228;3.3;0.0;24
WAE;20091229;6.5;2.1;1
WAE;20091230;8.9;2.5;0
WAE;20091231;7.3;5.1;0
WAE;20100101;4.4;4.5;0
WAE;20100102;-0.9;0.0;47
WAE;20100103;-1.9;0.0;96
WAE;20100104;-4.4;0.0;0
WAE;20100105;-3.4;0.6;0
WAE;20100106;-1.7;0.0;0
WAE;20100107;-0.7;0.0;56
WAE;20100108;-1.4;0.0;0
WAE;20100109;-3.4;0.6;0
WAE;20100110;-3.0;0.0;0
WAE;20100111;-2.6;0.0;7
WAE;20100112;-1.5;0.0;0
WAE;20100113;0.0;2.1;0
WAE;20100114;1.9;0.0;5
WAE;20100115;1.5;0.0;0
WAE;20100116;-0.7;0.0;0
WAE;20100117;7.1;0.1;16
WAE;20100118;5.2;0.0;60
WAE;20100119;0.6;0.0;81
WAE;20100120;-1.7;0.0;4
WAE;20100121;4.3;0.0;55
WAE;20100122;3.1;0.0;97
WAE;20100123;0.2;0.0;34
WAE;20100124;0.9;0.0;48
WAE;20100125;1.6;1.0;0
WAE;20100126;0.3;3.3;0
WAE;20100127;-4.1;0.0;0
WAE;20100128;-0.2;3.9;0
WAE;20100129;0.2;3.0;0
WAE;20100130;0.2;1.7;8
WAE;20100131;-3.1;0.5;13
WAE;20100201;-2.5;1.1;33
WAE;20100202;1.1;0.0;9
WAE;20100203;6.6;0.9;0
WAE;20100204;4.8;0.0;91
WAE;20100205;2.9;5.8;0
WAE;20100206;3.5;0.0;7
